country,region,happinessscore,GDP_PerCapita,Beer_PerCapita,Spirit_PerCapita,Wine_PerCapita
Mali,Sub-Saharan Africa,4.073,780.0,5,1,1
Haiti,Latin America and Caribbean,4.028,735.0,1,326,1
Botswana,Sub-Saharan Africa,3.974,6.954,173,35,35
Comoros,Sub-Saharan Africa,3.956,775.0,1,3,1
Cote d'Ivoire,Sub-Saharan Africa,3.916,1.535,37,1,7
Cambodia,Southeastern Asia,3.907,1.27,57,65,1
Angola,Sub-Saharan Africa,3.866,3.309,217,57,45
Niger,Sub-Saharan Africa,3.856,368.0,3,2,1
Chad,Sub-Saharan Africa,3.763,651.0,15,1,1
Burkina Faso,Sub-Saharan Africa,3.739,614.0,25,7,7
Madagascar,Sub-Saharan Africa,3.695,402.0,26,15,4
Tanzania,Sub-Saharan Africa,3.666,878.0,36,6,1
Liberia,Sub-Saharan Africa,3.622,455.0,19,152,2
Benin,Sub-Saharan Africa,3.484,789.0,34,4,13
Togo,Sub-Saharan Africa,3.303,577.0,36,2,19
Syria,Middle East and Northern Africa,3.069,2.058,5,35,16
